"filename", "language", "JSON", "Ignore", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "CSS", "TypeScript", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\DialogCart\CartDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 365, 0, 0, 0, 17, 382
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\ListSlideProducts\ListSlideProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 6, 79
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\ListSlideProducts\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 11, 80
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\OutstandingBrand\OutstandingBrand.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 5, 6, 119
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\OutstandingBrand\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 4, 16, 102
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\SectionReview\Components\ItemReview.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\SectionReview\Components\ItemReview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\SectionReview\SectionReview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 7, 112
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\SectionReview\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 4, 16, 112
"d:\2023_2\DATN\web_page\src\pages\HomePage\hocs\modal\ModalProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 1, 14, 87
"d:\2023_2\DATN\web_page\src\pages\HomePage\hocs\modal\ModalStack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\2023_2\DATN\web_page\src\pages\HomePage\hocs\modal\useModal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
